"Figure 2: Unemployment rates have been generally  falling for the last six years",""
"UK unemployment rates (aged 16 years and over), seasonally adjusted, January to March 1971 to June to August 2019",""
"",""
"Notes",""
"Unit","% of all economically active"
"",""
"Period","People","Men","Women"
"Apr-Jun 2000","5.5","6.0","4.8"
"May-Jul 2000","5.3","5.8","4.8"
"Jun-Aug 2000","5.3","5.7","4.7"
"Jul-Sep 2000","5.3","5.8","4.8"
"Aug-Oct 2000","5.4","5.8","4.9"
"Sep-Nov 2000","5.3","5.8","4.7"
"Oct-Dec 2000","5.2","5.8","4.6"
"Nov-Jan 2001","5.2","5.7","4.5"
"Dec-Feb 2001","5.2","5.8","4.5"
"Jan-Mar 2001","5.1","5.6","4.5"
"Feb-Apr 2001","5.0","5.5","4.4"
"Mar-May 2001","4.9","5.4","4.4"
"Apr-Jun 2001","5.0","5.5","4.4"
"May-Jul 2001","5.0","5.6","4.4"
"Jun-Aug 2001","5.1","5.6","4.4"
"Jul-Sep 2001","5.1","5.6","4.4"
"Aug-Oct 2001","5.1","5.7","4.4"
"Sep-Nov 2001","5.1","5.6","4.5"
"Oct-Dec 2001","5.2","5.7","4.5"
"Nov-Jan 2002","5.2","5.7","4.5"
"Dec-Feb 2002","5.1","5.7","4.5"
"Jan-Mar 2002","5.2","5.8","4.4"
"Feb-Apr 2002","5.2","5.8","4.5"
"Mar-May 2002","5.2","5.8","4.6"
"Apr-Jun 2002","5.2","5.7","4.5"
"May-Jul 2002","5.2","5.7","4.5"
"Jun-Aug 2002","5.2","5.8","4.6"
"Jul-Sep 2002","5.3","5.9","4.6"
"Aug-Oct 2002","5.2","5.7","4.6"
"Sep-Nov 2002","5.2","5.7","4.6"
"Oct-Dec 2002","5.1","5.5","4.6"
"Nov-Jan 2003","5.0","5.4","4.5"
"Dec-Feb 2003","5.1","5.7","4.4"
"Jan-Mar 2003","5.2","5.8","4.4"
"Feb-Apr 2003","5.1","5.7","4.4"
"Mar-May 2003","5.0","5.6","4.3"
"Apr-Jun 2003","4.9","5.5","4.3"
"May-Jul 2003","5.1","5.6","4.4"
"Jun-Aug 2003","5.1","5.6","4.5"
"Jul-Sep 2003","5.0","5.5","4.5"
"Aug-Oct 2003","5.0","5.5","4.3"
"Sep-Nov 2003","4.9","5.4","4.3"
"Oct-Dec 2003","4.9","5.4","4.3"
"Nov-Jan 2004","4.8","5.3","4.2"
"Dec-Feb 2004","4.8","5.3","4.3"
"Jan-Mar 2004","4.8","5.2","4.3"
"Feb-Apr 2004","4.8","5.2","4.4"
"Mar-May 2004","4.8","5.1","4.4"
"Apr-Jun 2004","4.8","5.2","4.4"
"May-Jul 2004","4.8","5.1","4.3"
"Jun-Aug 2004","4.7","5.1","4.2"
"Jul-Sep 2004","4.7","5.0","4.3"
"Aug-Oct 2004","4.7","4.9","4.3"
"Sep-Nov 2004","4.7","5.1","4.2"
"Oct-Dec 2004","4.7","5.1","4.3"
"Nov-Jan 2005","4.7","5.1","4.2"
"Dec-Feb 2005","4.8","5.1","4.4"
"Jan-Mar 2005","4.7","5.1","4.2"
"Feb-Apr 2005","4.7","5.1","4.3"
"Mar-May 2005","4.8","5.1","4.3"
"Apr-Jun 2005","4.8","5.1","4.4"
